Country,Amount
France,42
Serbia,31
Croatia,22
Spain,20
Germany,19
Lithuania,15
Greece,14
Italy,14
Turkey,14
Russia,13
Slovenia,13
England,12
Georgia,11
Montenegro,9
Ukraine,9
Bosnia and Herzegovina,7
Latvia,7
Czech Republic,5
Israel,5
Netherlands,5
Macedonia,5
Poland,5
Bulgaria,3
Finland,3
Ireland,3
Sweden,2
Switzerland,2
Austria,1
Belarus,1
Belgium,1
Denmark,1
Estonia,1
Hungary,1
Iceland,1
Luxembourg,1
Norway,1
Portugal,1
Romania,1
Slovakia,1
Albania,0
Aland,0
Andorra,0
Brussels Capital Region,0
Flemish Region,0
Republic Srpska,0
Walloon Region,0
Faroe Islands,0
Guernsey,0
Gibraltar,0
Isle of Man,0
Jersey,0
Kosovo,0
Liechtenstein,0
Monaco,0
Moldova,0
Malta,0
Northern Ireland,0
Jan Mayen,0
Svalbard,0
Scotland,0
San Marino,0
Vojvodina,0
Vatican,0
Wales,0
